Country,renewable_percentage,total_capacity_mw,num_facilities,avg_facility_size_mw,energy_security_score,global_market_share,governance_composite,mining_regulatory_score,political_risk_level,infrastructure_development,clean_energy_readiness,market_dominance_score,economic_criteria_score,political_criteria_score,operational_criteria_score,environmental_criteria_score,mcda_composite_score,mcda_rank,location_attractiveness
Bhutan,100.0,100.0,1,100.0,0.6,3.4377256007425485,0.3,0.2,2,0.39045913262180904,0.8,0.061350755667506286,0.7228153349780114,0.38461538461538464,0.6778735153946128,1.0,0.6686075922448034,9.0,High
Canada,99.36700336700338,297.0,12,24.75,0.6256067657495267,10.21004503420537,1.6,1.5,1,0.47224862129037765,0.8096383997097802,0.23864924433249368,0.7974169597920495,0.8846153846153846,0.7617549000510605,0.9936700336700338,0.8397390121443337,3.0,Very High
El Salvador,99.99585062240665,241.0,1,241.0,0.7675854403333277,8.284918697789543,-0.1,0.0,3,0.5846516553623252,0.883771973278697,0.13904282115869016,0.9179711574370142,0.2692307692307692,0.9215561070462607,0.9999585062240665,0.7689804001058224,5.0,Very High
Ethiopia,0.0,1.5,1,1.5,0.4,0.05156588401113823,-0.8,-0.7,4,0.13590346889203261,0.2,0.007076511335012594,0.025254358242921993,0.0,0.0,0.0,0.008839025385022696,10.0,Low
Iceland,100.0,10.0,1,10.0,0.6,0.34377256007425483,1.7,1.6,1,0.2958744369822148,0.8,0.011760075566750629,0.6131994543072321,0.9230769230769231,0.5890202179727136,1.0,0.7426440942699405,6.0,Very High
Norway,100.0,214.0,2,107.0,0.6,7.356732785589054,1.8,1.9,1,0.4277013845970356,0.8,0.13041561712846347,0.7601668479036204,1.0,0.7128590579185864,1.0,0.8442731612459137,2.0,Very High
Paraguay,99.98564249820531,696.5,48,14.51,0.6006025113569076,23.94375880917185,-0.3,-0.2,3,0.496378960754239,0.8002294681694804,0.6837767632241813,0.8188475555846427,0.1923076923076923,0.7775428841602956,0.9998564249820531,0.6790377523189298,8.0,High
Spain,100.0,0.5,1,0.5,0.6,0.017188628003712743,1.0,1.1,1,0.514697063643797,0.8,0.006525503778337531,0.514697063643797,0.6923076923076923,0.7945831983040016,1.0,0.7018666949282524,7.0,Very High
Sweden,100.0,78.0,3,26.0,0.6,2.681425968579188,1.8,1.7,1,0.3830669416603279,0.8,0.0617285894206549,0.7106696923400017,0.9615384615384615,0.6709292572600547,1.0,0.8068513220186296,4.0,Very High
United States,83.77912468513853,1270.4,17,74.73,0.7675269129965214,43.672866031833344,1.2,1.1,1,0.6681554977080305,0.8026590799239535,0.8062499999999999,0.9458773419364869,0.7307692307692308,0.9406871760436406,0.8377912468513853,0.874589858408696,1.0,Very High
