Country,sum_POWER CONSUMPTION (MW),mean_POWER CONSUMPTION (MW),count_POWER CONSUMPTION (MW),sum_Power from Wind (in MW),sum_Power from Solar (in MW),sum_Power from Hydro (in MW),sum_Power from Natural Gas (in MW),sum_Power from Nuclear (in MW),sum_Power from Coal (in MW),sum_Power from Other Sources (in MW),total_renewable_mw,renewable_percentage,total_capacity_mw,num_facilities,avg_facility_size_mw,energy_diversification_index,energy_diversification_score,facility_density,log_total_capacity,global_market_share,renewable_adoption_score,energy_security_score,market_maturity_index,infrastructure_development,clean_energy_readiness,market_dominance_score,governance_composite,mining_regulatory_score,political_stability_score,political_risk_level,business_environment_score,economic_criteria_score,political_criteria_score,operational_criteria_score,environmental_criteria_score,mcda_composite_score,mcda_rank,location_attractiveness
Bhutan,100.0,100.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1,100.0,1.0,0.0,1.0,4.61512051684126,3.4377256007425485,5,0.6,4.61512051684126,0.39045913262180904,0.8,0.061350755667506286,0.3,0.2,0.8,2,0.25,0.7228153349780114,0.38461538461538464,0.6778735153946128,1.0,0.6686075922448034,9.0,High
Canada,297.0,24.75,12,9.4,0.0,285.72,0.56,0.0,0.0,1.32,295.12,99.36700336700338,297.0,12,24.75,0.9264881361312339,0.07351186386876607,4.040404040404041,5.697093486505405,10.21004503420537,5,0.6256067657495267,38.98121552531694,0.47224862129037765,0.8096383997097802,0.23864924433249368,1.6,1.5,1.4,1,1.55,0.7974169597920495,0.8846153846153846,0.7617549000510605,0.9936700336700338,0.8397390121443337,3.0,Very High
El Salvador,241.0,241.0,1,71.99,169.0,0.0,0.0,0.0,0.0,0.0,240.99,99.99585062240665,241.0,1,241.0,0.5809741585027806,0.41902584149721944,0.4149377593360996,5.488937726156687,8.284918697789543,5,0.7675854403333277,5.488937726156687,0.5846516553623252,0.883771973278697,0.13904282115869016,-0.1,0.0,-0.2,3,-0.05,0.9179711574370142,0.2692307692307692,0.9215561070462607,0.9999585062240665,0.7689804001058224,5.0,Very High
Ethiopia,1.5,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1,1.5,0.0,1.0,66.66666666666666,0.9162907318741551,0.05156588401113823,1,0.4,0.9162907318741551,0.13590346889203261,0.2,0.007076511335012594,-0.8,-0.7,-0.5,4,-0.75,0.025254358242921993,0.0,0.0,0.0,0.008839025385022696,10.0,Low
Iceland,10.0,10.0,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,1,10.0,1.0,0.0,10.0,2.3978952727983707,0.34377256007425483,5,0.6,2.3978952727983707,0.2958744369822148,0.8,0.011760075566750629,1.7,1.6,1.8,1,1.65,0.6131994543072321,0.9230769230769231,0.5890202179727136,1.0,0.7426440942699405,6.0,Very High
Norway,214.0,107.0,2,0.0,0.0,214.0,0.0,0.0,0.0,0.0,214.0,100.0,214.0,2,107.0,1.0,0.0,0.9345794392523363,5.3706380281276624,7.356732785589054,5,0.6,9.36426245424844,0.4277013845970356,0.8,0.13041561712846347,1.8,1.9,1.7,1,1.85,0.7601668479036204,1.0,0.7128590579185864,1.0,0.8442731612459137,2.0,Very High
Paraguay,696.5,14.51,48,0.5,0.0,695.9,0.03,0.0,0.0,0.07,696.4,99.98564249820531,696.5,48,14.51,0.9982783590808105,0.001721640919189471,6.891600861450107,6.5475025136955205,23.94375880917185,5,0.6006025113569076,131.59127890504547,0.496378960754239,0.8002294681694804,0.6837767632241813,-0.3,-0.2,0.1,3,-0.25,0.8188475555846427,0.1923076923076923,0.7775428841602956,0.9998564249820531,0.6790377523189298,8.0,High
Spain,0.5,0.5,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.5,1,0.5,1.0,0.0,200.0,0.4054651081081644,0.017188628003712743,5,0.6,0.4054651081081644,0.514697063643797,0.8,0.006525503778337531,1.0,1.1,0.9,1,1.05,0.514697063643797,0.6923076923076923,0.7945831983040016,1.0,0.7018666949282524,7.0,Very High
Sweden,78.0,26.0,3,0.0,0.0,78.0,0.0,0.0,0.0,0.0,78.0,100.0,78.0,3,26.0,1.0,0.0,3.8461538461538463,4.3694478524670215,2.681425968579188,5,0.6,9.887510598012987,0.3830669416603279,0.8,0.0617285894206549,1.8,1.7,1.6,1,1.75,0.7106696923400017,0.9615384615384615,0.6709292572600547,1.0,0.8068513220186296,4.0,Very High
United States,1270.4,74.73,17,418.27,53.94,592.12,58.82,115.62,0.0,3.64,1064.33,83.77912468513853,1270.4,17,74.73,0.33786958778577436,0.6621304122142256,1.33816120906801,7.147873934502308,43.672866031833344,4,0.7675269129965214,73.56196451313744,0.6681554977080305,0.8026590799239535,0.8062499999999999,1.2,1.1,0.8,1,1.15,0.9458773419364869,0.7307692307692308,0.9406871760436406,0.8377912468513853,0.874589858408696,1.0,Very High
